name,ID,ALIGN,SEX,ALIVE,Universe
Batman (Bruce Wayne),Secret Identity,Good,Male,Living,DC
Superman (Clark Kent),Secret Identity,Good,Male,Living,DC
Green Lantern (Hal Jordan),Secret Identity,Good,Male,Living,DC
James Gordon (New Earth),Public Identity,Good,Male,Living,DC
Richard Grayson (New Earth),Secret Identity,Good,Male,Living,DC
Wonder Woman (Diana Prince),Public Identity,Good,Female,Living,DC
Aquaman (Arthur Curry),Public Identity,Good,Male,Living,DC
Timothy Drake (New Earth),Secret Identity,Good,Male,Living,DC
Dinah Laurel Lance (New Earth),Public Identity,Good,Female,Living,DC
Flash (Barry Allen),Secret Identity,Good,Male,Living,DC
GenderTest,Secret Identity,Good,Female,Living,DC
Alan Scott (New Earth),Secret Identity,Good,Male,Deceased,DC
Barbara Gordon (New Earth),Secret Identity,Good,Female,Living,DC
Jason Garrick (New Earth),Public Identity,Good,Male,Living,DC
Lois Lane (New Earth),Public Identity,Good,Female,Living,DC
Alfred Pennyworth (New Earth),Public Identity,Good,Male,Living,DC
Carter Hall (New Earth),Secret Identity,Good,Male,Living,DC
Kyle Rayner (New Earth),Secret Identity,Good,Male,Living,DC
Raymond Palmer (New Earth),Public Identity,Good,Male,Living,DC
Alexander Luthor (New Earth),Public Identity,Bad,Male,Living,DC
Kara Zor-L (Earth-Two),Secret Identity,Good,Female,Living,DC
Garfield Logan (New Earth),Public Identity,Good,Male,Living,DC
Guy Gardner (New Earth),Public Identity,Good,Male,Living,DC
Victor Stone (New Earth),Public Identity,Good,Male,Living,DC
Kon-El (New Earth),Secret Identity,Good,Male,Living,DC
James Olsen (New Earth),Public Identity,Good,Male,Living,DC
John Stewart (New Earth),Public Identity,Good,Male,Living,DC
Joker (New Earth),Secret Identity,Bad,Male,Living,DC
Franklin Rock (New Earth),Public Identity,Good,Male,Living,DC
Garth (New Earth),Public Identity,Good,Male,Deceased,DC
Zatanna Zatara (New Earth),Public Identity,Good,Female,Living,DC
Michael Jon Carter (New Earth),Public Identity,Good,Male,Living,DC
Cassandra Sandsmark (New Earth),Public Identity,Good,Female,Living,DC
Kent Nelson (New Earth),Secret Identity,Good,Male,Deceased,DC
Harvey Bullock (New Earth),Public Identity,Good,Male,Living,DC
Rachel Roth (New Earth),Secret Identity,Good,Female,Living,DC
Helena Bertinelli (New Earth),Secret Identity,Good,Female,Living,DC
Wesley Dodds (New Earth),Secret Identity,Good,Male,Deceased,DC
Uxas (New Earth),Public Identity,Bad,Male,Deceased,DC
Nathaniel Adam (New Earth),Secret Identity,Good,Male,Living,DC
Ronald Raymond (New Earth),Secret Identity,Good,Male,Living,DC
Red Tornado (New Earth),Secret Identity,Good,Male,Living,DC
John Constantine (New Earth),Public Identity,Good,Male,Living,DC
Albert Pratt (New Earth),Secret Identity,Good,Male,Deceased,DC
Theodore Knight (New Earth),Secret Identity,Good,Male,Deceased,DC
John Henry Irons (New Earth),Public Identity,Good,Male,Living,DC
Jefferson Pierce (New Earth),Secret Identity,Good,Male,Living,DC
Beatriz da Costa (New Earth),Secret Identity,Good,Female,Living,DC
William Batson (New Earth),Secret Identity,Good,Male,Living,DC
Jennifer-Lynn Hayden (New Earth),Secret Identity,Good,Female,Living,DC
Swamp Thing (New Earth),Public Identity,Good,Male,Living,DC
Renee Montoya (New Earth),Secret Identity,Good,Female,Living,DC
Harvey Dent (New Earth),Public Identity,Bad,Male,Living,DC
Courtney Whitmore (New Earth),Secret Identity,Good,Female,Living,DC
Kendra Saunders (New Earth),Secret Identity,Good,Female,Deceased,DC
Kilowog (New Earth),Public Identity,Good,Male,Living,DC
Kara Zor-El (New Earth),Secret Identity,Good,Female,Living,DC
Jonah Hex (New Earth),Public Identity,Good,Male,Deceased,DC
Rex Tyler (New Earth),Secret Identity,Good,Male,Living,DC
Pieter Cross (New Earth),Secret Identity,Good,Male,Living,DC
Jonathan L. Thunder (New Earth),Secret Identity,Good,Male,Living,DC
Mari McCabe (New Earth),Secret Identity,Good,Female,Living,DC
Scott Free (New Earth),Secret Identity,Good,Male,Living,DC
Martha Clark (New Earth),Public Identity,Good,Female,Living,DC
Boston Brand (New Earth),Secret Identity,Good,Male,Deceased,DC
John Zatara (New Earth),Secret Identity,Good,Male,Deceased,DC
Jonathan Kent (New Earth),Public Identity,Good,Male,Deceased,DC
Tatsu Yamashiro (New Earth),Secret Identity,Good,Female,Living,DC
Lawrence Trainor (New Earth),Secret Identity,Good,Male,Living,DC
Albert Rothstein (New Earth),Secret Identity,Good,Male,Living,DC
Brion Markov (New Earth),Secret Identity,Good,Male,Living,DC
Sanderson Hawkins (New Earth),Secret Identity,Good,Male,Living,DC
Jonathan Chambers (New Earth),Secret Identity,Good,Male,Deceased,DC
Orion (New Earth),Public Identity,Good,Male,Deceased,DC
Cassandra Cain (New Earth),Secret Identity,Good,Female,Living,DC
Susan Dearbon (New Earth),Public Identity,Good,Female,Deceased,DC
Jean-Paul Valley (New Earth),Secret Identity,Good,Male,Deceased,DC
Hippolyta (New Earth),Public Identity,Good,Female,Living,DC
Bernhard Baker (New Earth),Secret Identity,Good,Male,Living,DC
Sylvester Pemberton (New Earth),Secret Identity,Good,Male,Deceased,DC
Jesse Chambers (New Earth),Public Identity,Good,Female,Living,DC
Tora Olafsdotter (New Earth),Public Identity,Good,Female,Living,DC
Amanda Waller (New Earth),Public Identity,Good,Female,Living,DC
Jonathan Crane (New Earth),Public Identity,Bad,Male,Living,DC
Shiera Sanders (New Earth),Secret Identity,Good,Female,Living,DC
Jeb Stuart (New Earth),Public Identity,Good,Male,Living,DC
Damian Wayne (Prime Earth),Secret Identity,Good,Male,Deceased,DC
Big Barda (New Earth),Secret Identity,Good,Female,Deceased,DC
Niles Caulder (New Earth),Public Identity,Good,Male,Living,DC
James Corrigan (New Earth),Secret Identity,Good,Male,Deceased,DC
Samuel Bradley (New Earth),Public Identity,Good,Male,Living,DC
Richard Tyler (New Earth),Public Identity,Good,Male,Living,DC
James Ewell Brown Stuart (New Earth),Public Identity,Good,Male,Deceased,DC
Todd Rice (New Earth),Public Identity,Good,Male,Living,DC
Yz (New Earth),Secret Identity,Good,Male,Living,DC
Matrix (Pocket Universe),Public Identity,Good,Female,Living,DC
Wolfgang Winks (New Earth),Public Identity,Good,Male,Living,DC
William Glenmorgan (New Earth),Public Identity,Good,Male,Deceased,DC
Stephanie Brown (New Earth),Secret Identity,Good,Female,Living,DC
