Name	Intelligence	Strength	Speed	Durability	Power	Combat	Overall
Beyonder	100	100	100	100	100	85	97.5
Power Girl	100	100	100	100	100	75	95.8
Magus	95	100	70	100	100	75	90
Air-Walker	80	85	100	85	100	40	81.7
Mister Sinister	100	50	50	90	100	50	73.3
King Shark	80	90	50	90	90	40	73.3
Fin Fang Foom	80	85	25	100	75	70	72.5
Darth Maul	80	50	50	30	100	100	68.3
Jason Voorhees	85	35	25	100	100	50	65.8
Offspring	80	10	35	100	100	60	64.2
Ultragirl	80	80	35	70	35	80	63.3
Ripcord	85	40	35	65	70	65	60
Luke Campbell	85	40	35	65	70	65	60
Nathan Petrelli	85	40	35	65	70	65	60
K-2SO	85	40	35	65	70	65	60
Omniscient	85	40	35	65	70	65	60
Minna Murray	85	40	35	65	70	65	60
Thunderbird III	85	40	35	65	70	65	60
Batman	100	20	30	50	50	100	58.3
Space Ghost	75	20	35	40	95	80	57.5
Mysterio	95	10	20	40	85	70	53.3
Hope Summers	85	10	15	35	95	75	52.5
Darkstar	75	10	35	45	80	65	51.7
Corsair	70	35	45	35	45	75	50.8
Red Hood	90	15	25	30	35	95	48.3
Batwoman V	95	10	30	25	30	80	45
Cheetah II	75	20	45	20	40	60	43.3
Big Man	90	15	25	30	20	70	41.7
Nina Theroux	85	5	10	10	70	20	33.3
Daphne Powell	75	10	10	10	60	10	29.2
