Name,Intelligence,Strength,Speed,Durability,Power,Combat,Overall
Beyonder,100.0,100.0,100.0,100.0,100.0,85.0,97.5
Power Girl,100.0,100.0,100.0,100.0,100.0,75.0,95.8
Magus,95.0,100.0,70.0,100.0,100.0,75.0,90.0
Air-Walker,80.0,85.0,100.0,85.0,100.0,40.0,81.7
Mister Sinister,100.0,50.0,50.0,90.0,100.0,50.0,73.3
King Shark,80.0,90.0,50.0,90.0,90.0,40.0,73.3
Fin Fang Foom,80.0,85.0,25.0,100.0,75.0,70.0,72.5
Darth Maul,80.0,50.0,50.0,30.0,100.0,100.0,68.3
Jason Voorhees,85.0,35.0,25.0,100.0,100.0,50.0,65.8
Offspring,80.0,10.0,35.0,100.0,100.0,60.0,64.2
Ultragirl,80.0,80.0,35.0,70.0,35.0,80.0,63.3
Ripcord,85.0,40.0,35.0,65.0,70.0,65.0,60.0
Luke Campbell,85.0,40.0,35.0,65.0,70.0,65.0,60.0
Nathan Petrelli,85.0,40.0,35.0,65.0,70.0,65.0,60.0
K-2SO,85.0,40.0,35.0,65.0,70.0,65.0,60.0
Omniscient,85.0,40.0,35.0,65.0,70.0,65.0,60.0
Minna Murray,85.0,40.0,35.0,65.0,70.0,65.0,60.0
Thunderbird III,85.0,40.0,35.0,65.0,70.0,65.0,60.0
Batman,100.0,20.0,30.0,50.0,50.0,100.0,58.3
Space Ghost,75.0,20.0,35.0,40.0,95.0,80.0,57.5
Mysterio,95.0,10.0,20.0,40.0,85.0,70.0,53.3
Hope Summers,85.0,10.0,15.0,35.0,95.0,75.0,52.5
Darkstar,75.0,10.0,35.0,45.0,80.0,65.0,51.7
Corsair,70.0,35.0,45.0,35.0,45.0,75.0,50.8
Red Hood,90.0,15.0,25.0,30.0,35.0,95.0,48.3
Batwoman V,95.0,10.0,30.0,25.0,30.0,80.0,45.0
Cheetah II,75.0,20.0,45.0,20.0,40.0,60.0,43.3
Big Man,90.0,15.0,25.0,30.0,20.0,70.0,41.7
Nina Theroux,85.0,5.0,10.0,10.0,70.0,20.0,33.3
Daphne Powell,75.0,10.0,10.0,10.0,60.0,10.0,29.2
